,velocity,operatingError,reportingError
72,0.1,0.1825009660108899,0.1578138974233959
73,0.2,0.1654645021196995,0.1566525467733191
74,0.3,0.190978833413036,0.158838885838828
75,0.4,0.1714069338527196,0.1833574884966897
76,0.5,0.1649559320972816,0.126666198153015
77,0.6,0.2039020499468259,0.1287624504625872
78,0.7,0.2031009063957996,0.149105514451367
79,0.8,0.1924340366009698,0.1521919137186952
80,0.9,0.1986725695258816,0.1321354706004356
288,0.1,0.178484763650866,0.1720845591866049
289,0.2,0.1719177208981041,0.1656810275695281
290,0.3,0.1759664658628553,0.1505276410153047
291,0.4,0.1843713268567645,0.1572679854705582
292,0.5,0.1727742498756969,0.173851450558589
293,0.6,0.1953050312086645,0.1768672682605698
294,0.7,0.1673283332854033,0.1665130969607074
295,0.8,0.2169728860829819,0.1703648743831552
296,0.9,0.1784246578082445,0.1335928163519602
504,0.1,0.178677531030894,0.1519262048482489
505,0.2,0.1628326785709677,0.1668383749462129
506,0.3,0.1865440552477796,0.1578959829902618
507,0.4,0.1911759740153356,0.1620317580895306
508,0.5,0.1977928769476638,0.1493879690405796
509,0.6,0.1721821977291741,0.1511807808143226
510,0.7,0.1812531765962721,0.1866885573891902
511,0.8,0.2091715668352915,0.1900684055795348
512,0.9,0.1833707101723888,0.1770343441585637
720,0.1,0.1771968672677341,0.1464791508269823
721,0.2,0.162996887757178,0.1691832970738685
722,0.3,0.1727942407339311,0.1871017213750025
723,0.4,0.1817909312279138,0.1690244512891582
724,0.5,0.1701385767441322,0.1776741643946349
725,0.6,0.1805035954840868,0.1467165342138611
726,0.7,0.1530533311357488,0.1579210687223437
727,0.8,0.2421518376582024,0.1518989269679729
728,0.9,0.1408574983181335,0.1136623214175895
936,0.1,0.1727623633893456,0.1569859990453692
937,0.2,0.1733433597604145,0.161084119720621
938,0.3,0.1875737773747035,0.1434742054186181
939,0.4,0.1774879728082209,0.1568261809405547
940,0.5,0.1623639409453632,0.1428584097190573
941,0.6,0.1804091389777926,0.1374440013943385
942,0.7,0.1911471368623809,0.1294213845009294
943,0.8,0.255028321513707,0.1731095867037006
944,0.9,0.2319461257968614,0.1400063807015866
1152,0.1,0.1806202288510102,0.1547263204916492
1153,0.2,0.1814380209552157,0.1520591506896784
1154,0.3,0.1800358448745045,0.1799404253285292
1155,0.4,0.1804171632117316,0.1546021663898106
1156,0.5,0.1960756308476759,0.1429712241179505
1157,0.6,0.169973793181262,0.1466982291003177
1158,0.7,0.1893513508822213,0.114365100551548
1159,0.8,0.1804336431971817,0.1771308355635579
1160,0.9,0.1825909402729524,0.1446698463153747
1368,0.1,0.1795940766393678,0.163394485482716
1369,0.2,0.1840443426022134,0.1601621026284446
1370,0.3,0.1764283821881533,0.157461575995727
1371,0.4,0.1489064785633592,0.1362137458289706
1372,0.5,0.1721903470544394,0.1404754163049008
1373,0.6,0.1889336146964313,0.1434126288654374
1374,0.7,0.1918565390875629,0.1357337396623128
1375,0.8,0.1551351725076777,0.1611987826273423
1376,0.9,0.2244903489892405,0.1690386961740697
1584,0.1,0.1794114546486462,0.1561355988854015
1585,0.2,0.1852932767520165,0.1786983318700317
1586,0.3,0.1817855526161207,0.165879771315405
1587,0.4,0.1784835405121122,0.167353460923066
1588,0.5,0.1575842310359996,0.1535748347256434
1589,0.6,0.1754760437454529,0.1528892656540077
1590,0.7,0.1675556833838673,0.2046992951099398
1591,0.8,0.1800763528550082,0.1823018751374153
1592,0.9,0.1807900868366921,0.1644109917883013
1800,0.1,0.1637080889380585,0.1635935051514865
1801,0.2,0.1786397125736868,0.1629880673923363
1802,0.3,0.1731407754148477,0.150803565568398
1803,0.4,0.1806457425761242,0.1323300636358311
1804,0.5,0.1860579826845682,0.180403474726365
1805,0.6,0.1694460564806771,0.167153837354113
1806,0.7,0.2103438467212993,0.1978732658965879
1807,0.8,0.1850082433610095,0.1605423462987148
1808,0.9,0.2107457582833538,0.1988852656930606
2016,0.1,0.1813146170507531,0.1670905423174043
2017,0.2,0.1854933347138979,0.1692417688042666
2018,0.3,0.1736592835030745,0.1458312019189301
2019,0.4,0.1870187810980609,0.1510364487926908
2020,0.5,0.1824630204686256,0.160792636062305
2021,0.6,0.1611271235369722,0.1017697266347248
2022,0.7,0.2357237059060893,0.1686788348178037
2023,0.8,0.2386686960251198,0.2042666257922682
2024,0.9,0.2063911696046222,0.1813737833472231
2232,0.1,0.1778825013546298,0.1663237808548232
2233,0.2,0.1841297073421696,0.1627596586362432
2234,0.3,0.1670933571365094,0.157175974902479
2235,0.4,0.162235311680575,0.1787974603008909
2236,0.5,0.1727673841600205,0.1634699252920751
2237,0.6,0.1943715001697647,0.1332154200324678
2238,0.7,0.2481187314902497,0.1498937208080261
2239,0.8,0.2099306442692087,0.1670590852255741
2240,0.9,0.1827758365546637,0.1931349614192784
2448,0.1,0.1800289464758976,0.1613118151734415
2449,0.2,0.1797196723690557,0.1605445048557251
2450,0.3,0.172961897249414,0.1464642972292593
2451,0.4,0.1524170965297848,0.1178132287695247
2452,0.5,0.1659297022433557,0.1511424794658226
2453,0.6,0.1815360794225001,0.1638679596678712
2454,0.7,0.1779262920498808,0.1479929350953462
2455,0.8,0.1456759295535975,0.1457724980048294
2456,0.9,0.1539523328716546,0.1235376769741438
2664,0.1,0.1770627422271803,0.1624829870914456
2665,0.2,0.1780144561489826,0.1608965354444729
2666,0.3,0.199342304184307,0.159269041718191
2667,0.4,0.1818616513463578,0.1622198027367665
2668,0.5,0.1786866618563408,0.156418737925114
2669,0.6,0.1589430664711507,0.1768926734016791
2670,0.7,0.1871171624339548,0.1358963790296484
2671,0.8,0.1767442532783188,0.151815932936692
2672,0.9,0.1981582849996173,0.1785403877422364
2880,0.1,0.168731501621773,0.1509445098265427
2881,0.2,0.1758519672334161,0.1346291927448497
2882,0.3,0.1838488983776497,0.1849416789830958
2883,0.4,0.2028304194981328,0.1521724705444792
2884,0.5,0.166897738289087,0.1613339001681042
2885,0.6,0.1580341888820013,0.1342804527071988
2886,0.7,0.1986565970831376,0.1553476216872542
2887,0.8,0.1582543430155234,0.1333474465214986
2888,0.9,0.1840795815106631,0.1608779473347527
3096,0.1,0.1746346107093076,0.1638633355510476
3097,0.2,0.1761526208408016,0.1508541029199921
3098,0.3,0.1705141972118546,0.1723525797456913
3099,0.4,0.159609256408882,0.1651251033861945
3100,0.5,0.1976541514246327,0.1681816199201833
3101,0.6,0.1840821048905856,0.1560616486308082
3102,0.7,0.1782871136798013,0.1472067611982391
3103,0.8,0.1889420011582255,0.1336389816279261
3104,0.9,0.1917757743633232,0.1191716626384608
3312,0.1,0.1788517486318576,0.1580856790413146
3313,0.2,0.1721946662985,0.1485527215340367
3314,0.3,0.1652752342333103,0.1809845197518512
3315,0.4,0.1438901508337361,0.1367991763998752
3316,0.5,0.1735760179189517,0.1354724969866477
3317,0.6,0.1904197118521881,0.1296769469878149
3318,0.7,0.158401089935831,0.1500476608240998
3319,0.8,0.1360784082226467,0.1557209038544928
3320,0.9,0.1732468221169041,0.1724352482489787
3528,0.1,0.1760658215555251,0.1596270636212924
3529,0.2,0.1848094790712769,0.1621781781497954
3530,0.3,0.1786857040947001,0.1685193167290486
3531,0.4,0.1947152955733218,0.1716839033330993
3532,0.5,0.1649796394817291,0.1460571273282388
3533,0.6,0.1994048587724716,0.1668900934121849
3534,0.7,0.157644856916846,0.1428622258379911
3535,0.8,0.2139962192827339,0.1733853404636701
3536,0.9,0.1824539450819176,0.1534146747806049
3744,0.1,0.1809205033341571,0.1522736269519397
3745,0.2,0.1736627807899766,0.1545044022881917
3746,0.3,0.1722454455190299,0.1416493491444111
3747,0.4,0.1678601384888929,0.1518508219066393
3748,0.5,0.1778784210320917,0.1374298153576264
3749,0.6,0.1901461889964528,0.169012243469293
3750,0.7,0.1624742643819742,0.1351309172381604
3751,0.8,0.1969759549868921,0.1360935178595857
3752,0.9,0.1453251316099149,0.1535051165702564
3960,0.1,0.1783759389142169,0.1548312423796651
3961,0.2,0.182156880042525,0.1649524125049589
3962,0.3,0.1897689853757426,0.1723645881988185
3963,0.4,0.186846323303504,0.1699142043602645
3964,0.5,0.1824426646224831,0.1750154911358222
3965,0.6,0.1611896732211687,0.1671555122636224
3966,0.7,0.1866299022929878,0.1705934422043891
3967,0.8,0.1386561094776501,0.1560103144812525
3968,0.9,0.1565383728716393,0.1381648029633512
4176,0.1,0.1742492101326762,0.1708204690409827
4177,0.2,0.1691224170423556,0.1479369533566331
4178,0.3,0.1726320674081388,0.1530606494966807
4179,0.4,0.1598067880577978,0.1539848046046274
4180,0.5,0.1600278962053945,0.1654487147869449
4181,0.6,0.2493386484760759,0.1874053869357747
4182,0.7,0.1864251249304202,0.1478580656241532
4183,0.8,0.1591001557548349,0.1525072799810775
4184,0.9,0.2083238702550281,0.1570226893259324
4392,0.1,0.1855739139613917,0.1621256632060315
4393,0.2,0.1858451010440394,0.1604983471208741
4394,0.3,0.1645620221111922,0.1449208766200724
4395,0.4,0.1658904753840646,0.1747775430566415
4396,0.5,0.1598622832646551,0.1609594033550392
4397,0.6,0.1830510077821514,0.1660437362437034
4398,0.7,0.1831125334579477,0.1636874581860176
4399,0.8,0.2091745720232974,0.1649898684795357
4400,0.9,0.2002927507497452,0.1807175544131175
4608,0.1,0.1676169530436245,0.1567758621243251
