,numVehicles,minRecipients,maxRecipients,operatingError,reportingError
72,200,1,10,0.170744531481101,0.1326613626848716
288,300,1,10,0.1639331850187507,0.1302889088041861
504,200,1,10,0.1722216046865197,0.1317171436926888
720,300,1,10,0.1644919492380936,0.1338094296057832
936,200,1,10,0.1674151288909839,0.1304314705385768
1152,300,1,10,0.1629174249284965,0.128317122408958
1368,200,1,10,0.1612982811980143,0.128792585989582
1584,300,1,10,0.1623571716090605,0.1308083862543071
1800,200,1,10,0.168233175540633,0.131744198087237
2016,300,1,10,0.1590485000287127,0.1313888303961791
2232,200,1,10,0.1710119767370949,0.1340476226359788
2448,300,1,10,0.1592872956534992,0.1329344392983932
2664,200,1,10,0.1654719609791335,0.1304743840270248
2880,300,1,10,0.1573771881115811,0.13235772217873
3096,200,1,10,0.16373992671298,0.1285737370682233
3312,300,1,10,0.1572964938646258,0.1288074909171768
3528,200,1,10,0.1656764040903751,0.1276397978015547
3744,300,1,10,0.1623009656522137,0.1338189607339393
3960,200,1,10,0.1668485991675418,0.137693178682818
4176,300,1,10,0.1658340508270367,0.1345493562915269
4392,200,1,10,0.1664643338544678,0.1314146274236703
4608,300,1,10,0.157210313482331,0.1281784647059887
4824,200,1,10,0.1632609086502555,0.1302130567169991
5040,300,1,10,0.1562457631176349,0.1344621001531087
5256,200,1,10,0.167533483627376,0.1286666375017257
5472,300,1,10,0.1665683239871803,0.1343925959893734
5688,200,1,10,0.1532415883322374,0.126225301944546
5904,300,1,10,0.1550593853241909,0.1337676513909187
6120,200,1,10,0.1572938858929023,0.1264239114359972
6336,300,1,10,0.1552799657847554,0.1271335835599153
6552,200,1,10,0.1578205079332824,0.1354428704366194
6768,300,1,10,0.1594094994483407,0.128772052209178
6984,200,1,10,0.1734513153220105,0.1356009934740634
7200,300,1,10,0.164354492600535,0.1322113736721322
7416,200,1,10,0.1604428792020851,0.132632751993043
7632,300,1,10,0.1616098500194414,0.1292231262905333
7848,200,1,10,0.1655600503867173,0.1304557846789353
8064,300,1,10,0.1535930425737787,0.128912957236101
8280,200,1,10,0.1650246992171197,0.1327725632653691
8496,300,1,10,0.1642106437569456,0.1310943641491353
8712,200,1,10,0.1712523548857986,0.1289649271146891
8928,300,1,10,0.1593852891457756,0.1328336380557578
9144,200,1,10,0.1752078174072621,0.1367551818986002
9360,300,1,10,0.1496847566836955,0.1293480375704917
9576,200,1,10,0.1712021330662298,0.1281446951740548
9792,300,1,10,0.1530440687679045,0.124588094858816
10008,200,1,10,0.1800456666343265,0.1362900793227541
10224,300,1,10,0.1612943164370918,0.1314132650779897
10440,200,1,10,0.1715985699598584,0.1361954679402706
10656,300,1,10,0.1548952340047671,0.1367820958956856
10872,200,1,10,0.1691468025971318,0.1355835526638907
11088,300,1,10,0.1605483140339422,0.1355563733199115
11304,200,1,10,0.1599998550396363,0.1270931038601304
11520,300,1,10,0.1644585775710041,0.1335516893307353
11736,200,1,10,0.171130138544092,0.1353224844554519
11952,300,1,10,0.159961525912108,0.1308752165453843
12168,200,1,10,0.166275176701889,0.1347232018725526
12384,300,1,10,0.164803007457366,0.1353786341413859
12600,200,1,10,0.173235615480082,0.133571140633889
12816,300,1,10,0.1570811017621212,0.1345357352034025
13032,200,1,10,0.1808869589950931,0.1402404793702343
13248,300,1,10,0.1591385506898146,0.1289687462944538
13464,200,1,10,0.1638684508071964,0.1315511846011746
13680,300,1,10,0.1581762984534547,0.1297165919176654
13896,200,1,10,0.1641353812036274,0.1354339569023239
14112,300,1,10,0.1531774512272743,0.1281541761840848
14328,200,1,10,0.1627186618399864,0.1295794436729451
14544,300,1,10,0.1616581227065008,0.1324328090097513
14760,200,1,10,0.1661726275036903,0.1289586243458749
14976,300,1,10,0.1659164716362857,0.1325612857937203
15192,200,1,10,0.1600728089173007,0.1289598517498346
15408,300,1,10,0.1611752584197724,0.1300539647007272
15624,200,1,10,0.1670383337146196,0.1363003109696703
15840,300,1,10,0.1527216739331391,0.1346873289179778
16056,200,1,10,0.1679086599481286,0.1341878762299721
16272,300,1,10,0.1545953880058614,0.1321590456043622
16488,200,1,10,0.1626581732853709,0.1314025723663064
16704,300,1,10,0.1543660375060636,0.1265177669207193
16920,200,1,10,0.1624237167760061,0.1315455119412513
17136,300,1,10,0.1583728627776369,0.1343683975815948
17352,200,1,10,0.1689974032230424,0.1324645818672778
17568,300,1,10,0.1602738481693477,0.1349224288268375
17784,200,1,10,0.172045214456885,0.1311059677400555
18000,300,1,10,0.160090564084085,0.1325003368885441
18216,200,1,10,0.1551292490142633,0.1301456920656688
18432,300,1,10,0.1557791564148006,0.1326182141481171
18648,200,1,10,0.1671996227322297,0.1322470183371114
18864,300,1,10,0.159496615781223,0.1295926734935026
19080,200,1,10,0.1667866953653043,0.1364115958377234
19296,300,1,10,0.1576089777170539,0.1295918661787941
19512,200,1,10,0.1637896433954201,0.1330287225915568
19728,300,1,10,0.1556428226899748,0.1303281449426517
19944,200,1,10,0.1720101965370956,0.1410581070648323
20160,300,1,10,0.1587793208309717,0.1296020405322612
20376,200,1,10,0.1645098767793146,0.1279498772998258
20592,300,1,10,0.1557428588547513,0.1235174783501297
20808,200,1,10,0.1671113614679496,0.1338477496981986
21024,300,1,10,0.1574877227983993,0.1334221396019443
21240,200,1,10,0.1628133273354463,0.1293186451557107
21456,300,1,10,0.1638056762391466,0.1305336241294042
21672,200,1,10,0.1693875538686902,0.1380027396567069
21888,300,1,10,0.1553528365757712,0.1390486247758457
22104,200,1,10,0.1782295413796415,0.1406466724511122
22320,300,1,10,0.1636270972289475,0.1327506690479229
22536,200,1,10,0.1701016765695503,0.1304763801615234
22752,300,1,10,0.1589606923129478,0.129961297057606
22968,200,1,10,0.1688453403492209,0.129306027711817
23184,300,1,10,0.1580888684238609,0.1309529100176647
23400,200,1,10,0.1627072116772017,0.1266634095534421
23616,300,1,10,0.1611588166949902,0.1323748186221371
23832,200,1,10,0.1700208544366165,0.133212194466457
24048,300,1,10,0.1586416842447025,0.1301110452238826
24264,200,1,10,0.1735463872446395,0.1360333953010263
24480,300,1,10,0.1659994945490462,0.136367102496193
24696,200,1,10,0.1708612662394212,0.1374709647145632
24912,300,1,10,0.1579718079923368,0.1307353926005426
25128,200,1,10,0.1636396619269085,0.1319578279766956
25344,300,1,10,0.1575148569827317,0.1322482072240238
25560,200,1,10,0.1701606349316663,0.1373863635549747
25776,300,1,10,0.161860409790308,0.1344895262802278
25992,200,1,10,0.1649704237316086,0.1311045179046059
26208,300,1,10,0.1584440707291882,0.133696858520155
26424,200,1,10,0.1711241773557862,0.1356846693612581
26640,300,1,10,0.1475300873172049,0.1283933089192198
26856,200,1,10,0.1573805441887892,0.1259659778929933
27072,300,1,10,0.1564675549433003,0.1296646952053681
27288,200,1,10,0.1679203526415537,0.1320206587706151
27504,300,1,10,0.1577186655070721,0.1337628909868773
27720,200,1,10,0.1652060970937916,0.1320222881113651
27936,300,1,10,0.1627640411508651,0.1361999205767872
28152,200,1,10,0.1733557349321325,0.1369985292233984
28368,300,1,10,0.1534381825424353,0.1270082551765124
28584,200,1,10,0.1605603483159201,0.1300012666612822
28800,300,1,10,0.1561694119722498,0.130536203496371
29016,200,1,10,0.1738277703420236,0.1322649246969244
29232,300,1,10,0.1534880639524454,0.1316523596854739
29448,200,1,10,0.1695291932286489,0.1362231725161253
29664,300,1,10,0.1645701498919933,0.1346668638359078
29880,200,1,10,0.1697775256130034,0.1296750055434899
30096,300,1,10,0.1632126269399132,0.1327626635275827
30312,200,1,10,0.170148304385353,0.1398265451070189
30528,300,1,10,0.1632839892627417,0.1321626651423042
30744,200,1,10,0.1662590806272912,0.1353387186668687
30960,300,1,10,0.1631997294798408,0.1308185525781565
31176,200,1,10,0.16528439152793,0.1362525485562408
31392,300,1,10,0.1587598074835322,0.1305227894197115
