,kNumWitnesses,operatingError,reportingError
0,1.0,0.1740834791970025,0.1662264060011982
36,1.5,0.1680108014836038,0.1628663758054221
72,2.0,0.1825009660108899,0.1578138974233959
216,1.0,0.1727845780143394,0.1661791996935063
252,1.5,0.1717498601910991,0.1539254703062864
288,2.0,0.178484763650866,0.1720845591866049
432,1.0,0.1727612829106654,0.1424961063422447
468,1.5,0.1748882497179595,0.1604205762602071
504,2.0,0.178677531030894,0.1519262048482489
648,1.0,0.1693082157594363,0.1568083329724664
684,1.5,0.1750510521620603,0.1612152823717383
720,2.0,0.1771968672677341,0.1464791508269823
864,1.0,0.1732407929945792,0.1569196786175414
900,1.5,0.1777545322192798,0.1486481765468421
936,2.0,0.1727623633893456,0.1569859990453692
1080,1.0,0.1703643218489017,0.155475603074733
1116,1.5,0.1801170738235193,0.1527038352349167
1152,2.0,0.1806202288510102,0.1547263204916492
1296,1.0,0.1744600223057837,0.1577694002973662
1332,1.5,0.1883658376597503,0.1676711727744791
1368,2.0,0.1795940766393678,0.163394485482716
1512,1.0,0.1802425563752149,0.1576904337748195
1548,1.5,0.1825681908065151,0.1569333214267217
1584,2.0,0.1794114546486462,0.1561355988854015
1728,1.0,0.1777221957204405,0.1568055873485253
1764,1.5,0.1769622150355222,0.1546724072663553
1800,2.0,0.1637080889380585,0.1635935051514865
1944,1.0,0.1798268597421341,0.1819865624160228
1980,1.5,0.1679376918764013,0.1480120778006179
2016,2.0,0.1813146170507531,0.1670905423174043
2160,1.0,0.171735629187787,0.1516982848212518
2196,1.5,0.1820562043968411,0.1698814744641772
2232,2.0,0.1778825013546298,0.1663237808548232
2376,1.0,0.1744652792376497,0.1496427002221381
2412,1.5,0.1729157829139897,0.1709974655870778
2448,2.0,0.1800289464758976,0.1613118151734415
2592,1.0,0.1716432050193034,0.1696039089593247
2628,1.5,0.1642285028114133,0.1648951940814431
2664,2.0,0.1770627422271803,0.1624829870914456
2808,1.0,0.1748176538238456,0.1694826933924871
2844,1.5,0.1868339725726169,0.1579819035233313
2880,2.0,0.168731501621773,0.1509445098265427
3024,1.0,0.1744413865163926,0.1565861685683341
3060,1.5,0.1711806159059347,0.1623997162044298
3096,2.0,0.1746346107093076,0.1638633355510476
3240,1.0,0.1580063255163639,0.1445208461696725
3276,1.5,0.1703950755719168,0.1572216349383041
3312,2.0,0.1788517486318576,0.1580856790413146
3456,1.0,0.1834205103646701,0.1585188029702505
3492,1.5,0.1755517061378357,0.1564368810667905
3528,2.0,0.1760658215555251,0.1596270636212924
3672,1.0,0.1809495323341795,0.1699013171770945
3708,1.5,0.1767622070941231,0.1655922769195585
3744,2.0,0.1809205033341571,0.1522736269519397
3888,1.0,0.177528464128909,0.155982408462522
3924,1.5,0.1704555524187604,0.1507097145920924
3960,2.0,0.1783759389142169,0.1548312423796651
4104,1.0,0.1839714937113134,0.1534926279017415
4140,1.5,0.1725198527757936,0.157234264271603
4176,2.0,0.1742492101326762,0.1708204690409827
4320,1.0,0.1618684385741867,0.1555505525009365
4356,1.5,0.1762288374236292,0.1494322209378992
4392,2.0,0.1855739139613917,0.1621256632060315
4536,1.0,0.1696240398396807,0.1547967369602066
4572,1.5,0.1783722698452456,0.1649247154558199
4608,2.0,0.1676169530436245,0.1567758621243251
4752,1.0,0.1792240771839056,0.1471311193101664
4788,1.5,0.1711148716415504,0.1633343222289097
4824,2.0,0.1682459335803142,0.1665966252003507
4968,1.0,0.1647556957988504,0.1577246843522481
5004,1.5,0.1771429941024155,0.1706445220764529
5040,2.0,0.1730315412904388,0.1674470595277933
5184,1.0,0.177043809718995,0.1439919099716294
5220,1.5,0.1752309192475026,0.1637501164989848
5256,2.0,0.1794391705943894,0.1700426393047793
5400,1.0,0.1663263278692884,0.149557114173638
5436,1.5,0.1712723315784987,0.1484133287904794
5472,2.0,0.1699653568739633,0.1729738614177332
5616,1.0,0.1850478695311815,0.1706901426565272
5652,1.5,0.1774078179680366,0.1561749955586601
5688,2.0,0.1784437769836949,0.1506372047630867
5832,1.0,0.1740088717656421,0.1516822499825606
5868,1.5,0.1729525103633044,0.1675637524873165
5904,2.0,0.1629659267707617,0.1564952733785954
6048,1.0,0.1724848347576824,0.1641857989982667
6084,1.5,0.1838814848511594,0.1709707895451511
6120,2.0,0.1741133586796233,0.1631356144776999
6264,1.0,0.1685151700176065,0.1582076395862232
6300,1.5,0.1809290018030846,0.15018112913327
6336,2.0,0.1723880447450704,0.1626647371262428
6480,1.0,0.1723552739995197,0.156390241313606
