,propNormal,operatingError,reportingError
72,0.1,0.8675647236346308,0.8427486724715247
288,0.5,0.4054652217936915,0.4999095273983042
504,0.1,0.8490890589550039,0.8475458853053912
720,0.5,0.400083538543628,0.4828781151809438
936,0.1,0.8565763939847361,0.8365154449456853
1152,0.5,0.4060222519314502,0.4714778591777563
1368,0.1,0.8549387675389835,0.840857292153114
1584,0.5,0.3951163897704003,0.4863145349030206
1800,0.1,0.8658784307680327,0.8461446423237788
2016,0.5,0.3979906425464371,0.5053267708884114
2232,0.1,0.8570055108404457,0.8521073091321989
2448,0.5,0.4044362746059221,0.5040602322768427
2664,0.1,0.8625037009206713,0.8485967781537345
2880,0.5,0.4150190721906147,0.5027810519644306
3096,0.1,0.8693098814683209,0.8472605392799687
3312,0.5,0.3935612978875046,0.4969412565185795
3528,0.1,0.85727801703507,0.8451854663012103
3744,0.5,0.4107524255700633,0.5068493951117363
3960,0.1,0.8589619802059388,0.8386134626296726
4176,0.5,0.4144693809740979,0.4973504550843154
4392,0.1,0.857857118797061,0.8223192924825359
4608,0.5,0.4153493252191625,0.5021882902717298
4824,0.1,0.8628880283907969,0.8363092546908546
5040,0.5,0.4026585835944962,0.4853046292501325
5256,0.1,0.8553537906388395,0.8346644296685848
5472,0.5,0.4128151390889752,0.5159467358452094
5688,0.1,0.8546210781869367,0.8321420050653137
5904,0.5,0.401093490517944,0.5078097102085727
6120,0.1,0.8565653287179485,0.8338882567843281
6336,0.5,0.4084866785572117,0.4907523615462355
6552,0.1,0.8567711526309334,0.8258318701924321
6768,0.5,0.4040733734182293,0.494561734470401
6984,0.1,0.8609116102475914,0.8273974811712786
7200,0.5,0.4144177752365929,0.4956133961372074
7416,0.1,0.8545979190556957,0.8420081910221103
7632,0.5,0.4090037427378174,0.4951093435477813
7848,0.1,0.8671760205632317,0.8239261277465759
8064,0.5,0.4081769084771436,0.4909090890452595
8280,0.1,0.853912247534984,0.8408462058188908
8496,0.5,0.4130451041706851,0.489139392956483
8712,0.1,0.8498654957004921,0.8426349079755184
8928,0.5,0.4125830317819974,0.4896984038830685
9144,0.1,0.8674148891501726,0.8382689670078171
9360,0.5,0.4012842524401233,0.4923047374676993
9576,0.1,0.854971255075483,0.8421006962438123
9792,0.5,0.4132559242898711,0.4987662404342646
10008,0.1,0.8561196300205579,0.8359711209338233
10224,0.5,0.3960800048467427,0.4891234814933058
10440,0.1,0.8538740227974215,0.8326260729603105
10656,0.5,0.4205068836657106,0.488861465485365
10872,0.1,0.8535085768776818,0.8362660771908353
11088,0.5,0.3996089389032249,0.4882623500472187
11304,0.1,0.8547731184992438,0.8486196844339221
11520,0.5,0.4057214432312945,0.5003713901494962
11736,0.1,0.8590055223223976,0.8328917975962604
11952,0.5,0.4050558951101192,0.5003512257342775
12168,0.1,0.8650157249770501,0.8365867356766938
12384,0.5,0.3871711696602903,0.4902046606281567
12600,0.1,0.8623469536908296,0.8583083084362769
12816,0.5,0.4065881970638411,0.502029211457004
13032,0.1,0.8690171040961745,0.8401540861492439
13248,0.5,0.4146057026630801,0.5004205538824893
13464,0.1,0.8504186809007659,0.850141944604765
13680,0.5,0.3970614197188956,0.5037924825727537
13896,0.1,0.8530488629242702,0.8149285889085224
14112,0.5,0.4053580081578947,0.4961037288148809
14328,0.1,0.8547266499299578,0.8335554787682399
14544,0.5,0.4086495149757738,0.4904139705088116
14760,0.1,0.8593204822649575,0.835911234875461
14976,0.5,0.4088558727151599,0.5116331555243981
15192,0.1,0.8548511862689991,0.8403575372849705
15408,0.5,0.4066716978843117,0.4898120571908743
15624,0.1,0.8368003055304487,0.8370650369239243
15840,0.5,0.409190080120124,0.4839914029712041
16056,0.1,0.8551112053368225,0.8422817500250973
16272,0.5,0.410180756242521,0.4992416839025242
16488,0.1,0.8466376959875866,0.8386269477939285
16704,0.5,0.414707793949472,0.5136654876546818
16920,0.1,0.841172046754272,0.8364792636306152
17136,0.5,0.4112070718881954,0.4930044704327062
17352,0.1,0.8448270599500292,0.8242006985266255
17568,0.5,0.4024364490948979,0.488740217702733
17784,0.1,0.8430553879396553,0.8156885618875858
18000,0.5,0.4105603738077212,0.4933024455730968
18216,0.1,0.8533642632041736,0.8304666025683258
18432,0.5,0.4178349327489307,0.4976621024966043
18648,0.1,0.8631587052258141,0.842974646106492
18864,0.5,0.3970925210545733,0.4783249897531438
19080,0.1,0.8562131597698185,0.8442047577040221
19296,0.5,0.3996429886120283,0.4862528797997119
19512,0.1,0.8460646308041819,0.8276550285554534
19728,0.5,0.4079672648018985,0.4775859821542448
19944,0.1,0.8701159986090705,0.8365287052756407
20160,0.5,0.3973175538978351,0.5028306671011896
20376,0.1,0.8661091261064884,0.8390078907062726
20592,0.5,0.4067912288847312,0.4852154877532592
20808,0.1,0.8624464167379657,0.8415778794126523
21024,0.5,0.4114932598172051,0.4938436749675407
21240,0.1,0.8628822267711711,0.8392192214537133
21456,0.5,0.3982938046894324,0.4755106338131581
21672,0.1,0.8608562497186657,0.835284730074105
21888,0.5,0.4128775954475649,0.5122190263630766
22104,0.1,0.8439469006925308,0.8469845396948772
22320,0.5,0.4110662992237901,0.4967673926741069
