,broadcastNoise,witnessNoise,operatingError,reportingError
72,0.5,0.5,0.4918739606929687,0.4297448045337048
288,0.9,0.5,0.5002897803103288,0.4224189078705869
504,0.5,0.9,0.4904746721517009,0.2202104322898653
720,0.9,0.9,0.2430713816975097,0.2110171426750078
936,0.5,0.5,0.4893713820802337,0.4280872771387317
1152,0.9,0.5,0.4863594223186226,0.4177519897315413
1368,0.5,0.9,0.5011968568760969,0.2238491557657485
1584,0.9,0.9,0.23702232924339,0.2098318656617757
1800,0.5,0.5,0.4993831865596171,0.4115892197143441
2016,0.9,0.5,0.5016402489049794,0.4191149769601232
2232,0.5,0.9,0.4890534579069341,0.2091276189960583
2448,0.9,0.9,0.2552501686206193,0.2190336397483135
2664,0.5,0.5,0.4971353128939226,0.4126661511621432
2880,0.9,0.5,0.4932280105898664,0.4110717896354702
3096,0.5,0.9,0.4802693240756435,0.211868379090681
3312,0.9,0.9,0.2415596259479006,0.2167985551931494
3528,0.5,0.5,0.4843755528990454,0.4130866509491032
3744,0.9,0.5,0.4903703941009394,0.4200977760713533
3960,0.5,0.9,0.4940712375329326,0.211272892019494
4176,0.9,0.9,0.2367154631840799,0.2166910502677472
4392,0.5,0.5,0.4929140675015479,0.4114892881536111
4608,0.9,0.5,0.5021417950778339,0.4197760111469009
4824,0.5,0.9,0.4937776068112461,0.2322636357046637
5040,0.9,0.9,0.2327355027376106,0.2024784796728437
5256,0.5,0.5,0.5005730808437288,0.4027544888037763
5472,0.9,0.5,0.5031564834689614,0.4113817548530756
5688,0.5,0.9,0.4758938150381276,0.2115977169572811
5904,0.9,0.9,0.2411016862373698,0.20718335145181
6120,0.5,0.5,0.50462502236269,0.4199535688833752
6336,0.9,0.5,0.490865159258167,0.4228094471505016
6552,0.5,0.9,0.5120999262440551,0.2120363128287652
6768,0.9,0.9,0.2507864901416373,0.2293004330857032
6984,0.5,0.5,0.4871795508063076,0.4172472327774016
7200,0.9,0.5,0.5037722706158497,0.417181756739342
7416,0.5,0.9,0.4956228023032197,0.1995078679693326
7632,0.9,0.9,0.2431275994959245,0.2116696026631453
7848,0.5,0.5,0.4879370547364754,0.4288239721468131
8064,0.9,0.5,0.4848213605030995,0.41324087273874
8280,0.5,0.9,0.5013476799475716,0.2147680798521702
8496,0.9,0.9,0.2459835477063199,0.2237585104643001
8712,0.5,0.5,0.495845644134074,0.413897655354623
8928,0.9,0.5,0.485280548010188,0.4200072042754043
9144,0.5,0.9,0.5034321559559033,0.2197648900221719
9360,0.9,0.9,0.2383524299945513,0.2038966187063038
9576,0.5,0.5,0.4887952770578874,0.41797928686896
9792,0.9,0.5,0.5096268830658751,0.4212661132045272
10008,0.5,0.9,0.4908707017453808,0.2269724148555592
10224,0.9,0.9,0.2353286912927172,0.2121934907331372
10440,0.5,0.5,0.5063685508768166,0.4205648273283517
10656,0.9,0.5,0.491917818317272,0.4333381191788509
10872,0.5,0.9,0.4974602844879361,0.2229313736968366
11088,0.9,0.9,0.2445796775776336,0.2098595990948649
11304,0.5,0.5,0.5142650459368686,0.4101850865437118
11520,0.9,0.5,0.4960448308614754,0.4065827195816232
11736,0.5,0.9,0.4935867498571721,0.2191746025488291
11952,0.9,0.9,0.2411103299849596,0.2111040938738233
12168,0.5,0.5,0.4946296478487006,0.4260802722656733
12384,0.9,0.5,0.5008233889424033,0.4050026354403384
12600,0.5,0.9,0.5046232403671449,0.1992392515644995
12816,0.9,0.9,0.2472142144516977,0.2058413156750384
