,numVehicles,operatingError,reportingError
72,200,0.1727437257202196,0.1678103799491056
288,300,0.1581261702734049,0.1542832076432237
504,200,0.1655650131638615,0.1580424483760107
720,300,0.1638933977840491,0.1640728466234425
936,200,0.1634340137234787,0.1561053422700224
1152,300,0.1558203139574957,0.16379243845821
1368,200,0.1650576906245952,0.163335083467113
1584,300,0.1630474016281727,0.1537475487626174
1800,200,0.1633119177909155,0.1536998598472503
2016,300,0.1650740957690362,0.1577385806201696
2232,200,0.1638372572781715,0.1613311748418288
2448,300,0.1582523256260721,0.1667881216844341
2664,200,0.1683466626666825,0.1616638512332741
2880,300,0.1564238662370023,0.1611030187120072
3096,200,0.170904759601107,0.1537443950604488
3312,300,0.1580680193825623,0.153990891613823
3528,200,0.1722533759875799,0.1626966949549755
3744,300,0.1606054888917478,0.1566637561515273
3960,200,0.1574608164747587,0.1599560495649837
4176,300,0.1594338606934294,0.1590109105049848
4392,200,0.1656779497149504,0.1594344235237229
4608,300,0.1544853329579898,0.1601877723667744
4824,200,0.1731368721074049,0.1617975693761588
5040,300,0.1603178800738649,0.1551448720472298
5256,200,0.1736307796339093,0.1666616222252559
5472,300,0.1593619016252914,0.1512278671460647
5688,200,0.1606209599458003,0.1613460915134504
5904,300,0.1637529058422954,0.1618907504459071
6120,200,0.1672504200438443,0.1521592910632861
6336,300,0.1621116478021898,0.1634696694465293
6552,200,0.1708451911713308,0.1525535515182602
6768,300,0.1648261230427888,0.1646308332433501
6984,200,0.1659878511056474,0.1675823535933503
7200,300,0.1587052981437026,0.1535371434524732
7416,200,0.1720721784198398,0.1651507753814651
7632,300,0.1572485285414575,0.1615133430382278
7848,200,0.1643942149718829,0.1602790059057721
8064,300,0.1638426609094818,0.1570383759222461
8280,200,0.1667513134822851,0.1606276591860846
8496,300,0.1567738700965631,0.1611495193689195
8712,200,0.1731032158179025,0.1647279032705682
8928,300,0.1632634649277124,0.1631905197566589
9144,200,0.1663329144460148,0.1569310024133555
9360,300,0.1604793353947158,0.1600405307285365
9576,200,0.1695907665094052,0.163471445948148
9792,300,0.1636595969848626,0.1662323515049445
10008,200,0.1691990506888621,0.1633592926031283
10224,300,0.156031212221356,0.1639700553874622
10440,200,0.1697671328449291,0.1600512616005885
10656,300,0.1559314393413162,0.1604451931113102
10872,200,0.1697279797850969,0.167321079418358
11088,300,0.1609645035205097,0.1615513622863837
11304,200,0.1693591020258303,0.1656509717521262
11520,300,0.1642801549089947,0.1685305825401394
11736,200,0.1657925388069498,0.1641329950852114
11952,300,0.1638203452678591,0.1608222587174751
12168,200,0.1643724500612241,0.1616322700242658
12384,300,0.164387791947644,0.154064636171512
12600,200,0.1657842205285484,0.1631903138173799
12816,300,0.1603846950959787,0.1611144522775121
13032,200,0.1692342099464331,0.1595937483986325
13248,300,0.1700169791863301,0.1586821695279706
13464,200,0.1676093751554153,0.1617500280153227
13680,300,0.1698584961361274,0.1645838065983774
13896,200,0.1659206114607783,0.1604137396972649
14112,300,0.1632019690938461,0.1589697973442529
14328,200,0.1713266986697375,0.1551927550173324
14544,300,0.1561300722676027,0.1596952749679766
14760,200,0.1733113234505699,0.1559205484890317
14976,300,0.1602173825831692,0.1637837322080015
15192,200,0.1653170199129622,0.1597574901203838
15408,300,0.1565153159967147,0.1588594879975765
15624,200,0.1699247922273948,0.1593717584678967
15840,300,0.1639882917111417,0.1576350666085077
16056,200,0.1793570116187811,0.162934356147903
16272,300,0.1560331946883796,0.1636853090301919
16488,200,0.1696092307105611,0.1595644463260581
16704,300,0.1593624757394091,0.1641292636800185
16920,200,0.1731642088216548,0.1589720520256212
17136,300,0.1593977424108281,0.1595178009014227
17352,200,0.1729140263450451,0.164693935868647
17568,300,0.153138148439299,0.1587454230531993
17784,200,0.1695835115938405,0.1549654472050098
18000,300,0.1585543982293548,0.1644252232533359
18216,200,0.1681732375946674,0.1620859259411535
18432,300,0.1560104924948037,0.1555574794100966
18648,200,0.1651873864166932,0.1698726806391093
18864,300,0.1607845991770722,0.1539752943646569
19080,200,0.167523931124426,0.1543166619318844
19296,300,0.1597543385633478,0.1599002179337775
19512,200,0.1699191830387385,0.1610111069357678
19728,300,0.1579702907338743,0.1599281151867413
19944,200,0.1737541168543968,0.1653991962463428
20160,300,0.1561844328551634,0.1630863776416692
20376,200,0.1681233384921258,0.1709943978779395
20592,300,0.1536702575087238,0.1519608014132409
20808,200,0.1678818398531757,0.1609036797671715
21024,300,0.1595992529030047,0.1590028499431322
21240,200,0.166573950962679,0.162910938882716
21456,300,0.156113110761686,0.1508237079130014
21672,200,0.1693266666425721,0.1565273316286561
21888,300,0.1557267569240038,0.1550378717068098
22104,200,0.166078204429681,0.1621816067082459
22320,300,0.1559655586594564,0.1528570460509953
22536,200,0.159441355907181,0.1547079876845904
