,propWitnesses,percTransaction,operatingError,reportingError
72,0.8,1.0,0.1747178002293329,0.1566447829011795
288,1.0,1.0,0.1795371511608915,0.1740332812901185
504,0.8,1.0,0.1658457678954278,0.1584415895781186
720,1.0,1.0,0.1767204725985839,0.1780833023767662
936,0.8,1.0,0.1719190099642707,0.1630373419957438
1152,1.0,1.0,0.1789906758239834,0.1683880446857092
1368,0.8,1.0,0.172468885399066,0.1727398432041421
1584,1.0,1.0,0.1718337829968424,0.1639371025849199
1800,0.8,1.0,0.1877357891920839,0.1750639992191449
2016,1.0,1.0,0.1770551608382395,0.1667706411717459
2232,0.8,1.0,0.1634409110472929,0.1556872664345541
2448,1.0,1.0,0.1737632373893677,0.1745190454181931
2664,0.8,1.0,0.1726207341232025,0.1634677998706729
2880,1.0,1.0,0.1748363447973461,0.1663025428620785
3096,0.8,1.0,0.1742575589049423,0.1633398926592033
3312,1.0,1.0,0.1724093759101386,0.1682168172775127
3528,0.8,1.0,0.1783902712201303,0.1675548382815688
3744,1.0,1.0,0.1763670636086006,0.1655076679176784
3960,0.8,1.0,0.1848269508881809,0.1509142462477335
4176,1.0,1.0,0.1714859851203322,0.1738867616680241
4392,0.8,1.0,0.1824350569817349,0.1737529609539255
4608,1.0,1.0,0.1740159067945643,0.1656958386493642
4824,0.8,1.0,0.1762928090855009,0.1774421220220167
5040,1.0,1.0,0.1774826605787992,0.1719544506821718
5256,0.8,1.0,0.1693106426776845,0.1632896738371314
5472,1.0,1.0,0.1693563235308653,0.1634050127979429
5688,0.8,1.0,0.1727118193414605,0.1693849709139561
5904,1.0,1.0,0.1862762942331608,0.1676149239566798
6120,0.8,1.0,0.1811597923214945,0.1827546898124978
6336,1.0,1.0,0.1730616300340474,0.1791655031924556
6552,0.8,1.0,0.1775114866980645,0.1683534033518266
6768,1.0,1.0,0.1795824101389562,0.1753366597322932
6984,0.8,1.0,0.177241888311762,0.1654439612592342
7200,1.0,1.0,0.1783211849017025,0.16247261073481
7416,0.8,1.0,0.177533017928203,0.1646356317376876
7632,1.0,1.0,0.1702056151408376,0.1738864139971151
7848,0.8,1.0,0.1731783927581748,0.1688142786648212
8064,1.0,1.0,0.1689105304369055,0.1672971365461542
8280,0.8,1.0,0.1741281207370513,0.1635527951679849
8496,1.0,1.0,0.1745044715838932,0.1674488993107365
8712,0.8,1.0,0.1778560546558696,0.1703995652363628
8928,1.0,1.0,0.1717809141198407,0.1717331263172466
9144,0.8,1.0,0.1861065930005803,0.1625733951198176
9360,1.0,1.0,0.1769935964936939,0.1642942378885622
9576,0.8,1.0,0.170064227085344,0.1622044697331576
9792,1.0,1.0,0.1861985346666613,0.1771180805692665
10008,0.8,1.0,0.1759197838534531,0.1752271548465539
10224,1.0,1.0,0.1820015019918517,0.1696558725498813
10440,0.8,1.0,0.1736055948828342,0.166944114743736
10656,1.0,1.0,0.1740036585549476,0.1629539436031399
10872,0.8,1.0,0.170756478238799,0.1738329817187274
11088,1.0,1.0,0.1753995935520117,0.1697766266359608
11304,0.8,1.0,0.172441102334035,0.1694846112144533
11520,1.0,1.0,0.1739784019214342,0.1692011270748555
11736,0.8,1.0,0.1716515855326973,0.1606985191263872
11952,1.0,1.0,0.1774836950030719,0.1696907756964557
12168,0.8,1.0,0.1810645053952896,0.1594546897838444
12384,1.0,1.0,0.1752535489685286,0.1660628368755902
12600,0.8,1.0,0.1798186718577259,0.177039313737836
12816,1.0,1.0,0.176933049129922,0.1563605739558561
13031,0.8,1.0,0.177706099933141,0.1529301198783028
13247,1.0,1.0,0.1694448161860281,0.1700646086058284
13463,0.8,1.0,0.1786748652867237,0.1710594503458695
13679,1.0,1.0,0.1727953357189011,0.1582209312506935
13895,0.8,1.0,0.1640315059771183,0.1435535481099994
14111,1.0,1.0,0.16860914848226,0.1642987344739781
